ADM1_EN,ADM2_EN,Shape_Area,Year,Month,Date,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent
Kiambu,Gatundu North,0.0190562071078,2004.0,1.0,2004-01,68.82707973500776,4.550103197829195,7.103883862618278
Kiambu,Gatundu South,0.018013492523,2004.0,1.0,2004-01,72.55412982206428,14.024667433277523,25.179504184929957
Kiambu,Githunguri,0.0140557399999,2004.0,1.0,2004-01,84.87031491705069,31.880621344852187,60.15268266032983
Kiambu,Juja,0.0303444523402,2004.0,1.0,2004-01,62.934531377416285,17.416172011057068,37.98119396325017
Kiambu,Kabete,0.00456838148631,2004.0,1.0,2004-01,109.08657537909605,49.46874341241514,83.04835521005319
Kiambu,Kiambaa,0.00720464174127,2004.0,1.0,2004-01,99.8834548191471,44.65197353223722,81.03065970004424
Kiambu,Kiambu,0.00796244668767,2004.0,1.0,2004-01,83.75332829456518,34.34896118077131,69.21806654947177
Kiambu,Kikuyu,0.0141641490709,2004.0,1.0,2004-01,109.40211334252469,47.67463350233429,77.10742435362648
Kiambu,Lari,0.037858207576,2004.0,1.0,2004-01,84.81521232235701,19.35918932908178,30.188933098082767
Kiambu,Limuru,0.0231553754199,2004.0,1.0,2004-01,102.95106568121228,41.9075675765598,68.53494941131859
Kiambu,Ruiru,0.0124421280679,2004.0,1.0,2004-01,65.70569607509033,21.94431261730868,49.62114998347116
Kiambu,Thika Town,0.0178033031507,2004.0,1.0,2004-01,47.46102274524784,5.038414460587406,11.649580279687312
Machakos,Kangundo,0.013896319438,2004.0,1.0,2004-01,50.10914126420634,2.7110370159413537,6.022931363613052
Machakos,Kathiani,0.0167415041685,2004.0,1.0,2004-01,53.17994167331479,3.609775477567434,7.209359835196142
Machakos,Machakos Town,0.0615270519301,2004.0,1.0,2004-01,58.28121463121408,12.437480130540662,29.17444195270671
Machakos,Masinga,0.11427469357,2004.0,1.0,2004-01,28.883956414246494,1.099369368247151,3.853431029292998
Machakos,Matungulu,0.0472449879416,2004.0,1.0,2004-01,45.798459068984734,4.462555925232614,10.27684797054144
Machakos,Mavoko,0.0684719511619,2004.0,1.0,2004-01,74.668650589974,29.605888299012275,66.1007036513789
Machakos,Mwala,0.0827962943547,2004.0,1.0,2004-01,52.155855239839696,15.48175080222352,44.187964679189065
Machakos,Yatta,0.0862109028544,2004.0,1.0,2004-01,41.31696182663671,10.859445575144804,37.900229451816536
Nairobi,Dagoretti,0.00198642271282,2004.0,1.0,2004-01,112.87877102129856,51.71712632699403,84.65991035836039
Nairobi,Embakasi Central,0.000664901959297,2004.0,1.0,2004-01,94.15504197721128,46.00328789214686,95.13642278385004
Nairobi,Embakasi East,0.00697580217167,2004.0,1.0,2004-01,89.84634831463167,41.70102558809139,86.26787891721195
Nairobi,Embakasi North,0.000441181256097,2004.0,1.0,2004-01,91.3105276888067,41.82717777143947,84.46758015140085
Nairobi,Embakasi South,0.00142609820487,2004.0,1.0,2004-01,104.51468799379138,51.81421255218418,98.34255307310458
Nairobi,Embakasi West,0.000793166442342,2004.0,1.0,2004-01,99.4030213539417,49.97451393308535,101.1101725798383
Nairobi,Kamukunji,0.000718135459802,2004.0,1.0,2004-01,100.01037001609802,50.59946013140407,102.4054409228321
Nairobi,Kasarani,0.0110736011415,2004.0,1.0,2004-01,75.90750514375696,30.23498798251073,65.9638624676154
Nairobi,Kibra,0.00100197842996,2004.0,1.0,2004-01,112.93527665970818,55.927476766453495,98.18237859888916
Nairobi,Kilimani,0.00238546350977,2004.0,1.0,2004-01,113.72022845761089,57.18534326539309,101.11778827170748
Nairobi,Langata,0.0170497156745,2004.0,1.0,2004-01,109.93354610188716,52.43175240395885,91.52180515751104
