ADM1_EN,ADM2_EN,Shape_Area,Year,Month,Date,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent
Baringo,Baringo Central,0.0537580755686,2004.0,1.0,2004-01,103.39334220457539,61.73306191019752,148.13390479772275
Baringo,Baringo North,0.132740713223,2004.0,1.0,2004-01,62.57903312898115,30.533746673334328,94.28554110349157
Baringo,Baringo South,0.148415380937,2004.0,1.0,2004-01,70.01707267426075,38.87875200287567,124.74578479358738
Baringo,Eldama Ravine,0.0757732853086,2004.0,1.0,2004-01,115.07427183114278,74.64974766970454,185.40117919700322
Baringo,Mogotio,0.11274518487,2004.0,1.0,2004-01,71.91117866333116,44.110125307800935,159.04650919586058
Baringo,Tiaty,0.361299620086,2004.0,1.0,2004-01,38.4486686184082,19.161742290140246,97.61202878514248
Bomet,Bomet Central,0.0218514754117,2004.0,1.0,2004-01,121.8988899683563,34.77288804268709,39.92731180342679
Bomet,Bomet East,0.0248468523234,2004.0,1.0,2004-01,103.66484132884369,23.420892603933435,29.12261294590128
Bomet,Chepalungu,0.0435947277517,2004.0,1.0,2004-01,113.37658446166421,26.66551651889375,30.395522644224062
Bomet,Konoin,0.0691694313946,2004.0,1.0,2004-01,124.98804033113558,43.96658721384364,54.58381447717788
Bomet,Sotik,0.0386364594921,2004.0,1.0,2004-01,129.32227963149194,38.41587561490246,42.43781905246183
Bungoma,Bumula,0.0280565255558,2004.0,1.0,2004-01,75.77269709160916,19.57903305479632,34.64943157715086
Bungoma,Kabuchai,0.0189909114449,2004.0,1.0,2004-01,66.31037658077506,18.37487531496011,38.44636280090169
Bungoma,Kanduyi,0.0259316067441,2004.0,1.0,2004-01,79.01920594476955,24.2218070118182,44.193579458318716
Bungoma,Kimilili,0.0144143199544,2004.0,1.0,2004-01,54.500076177483976,15.496995229499216,40.15099244962192
Bungoma,Mt. Elgon,0.0775868756161,2004.0,1.0,2004-01,55.70532645607852,13.207240599936222,31.906865458588694
Bungoma,Sirisia,0.0170736171425,2004.0,1.0,2004-01,62.397259732318155,9.872630257753588,18.31735475552104
Bungoma,Tongaren,0.0305038007386,2004.0,1.0,2004-01,54.555695286311774,19.440828539840957,55.2957904457322
Bungoma,Webuye East,0.013320761306,2004.0,1.0,2004-01,62.68562290179132,20.08991759287449,47.44324886069645
Bungoma,Webuye West,0.0191796778135,2004.0,1.0,2004-01,66.74394233485327,19.449398029098838,40.64174981676752
Busia,Budalangi,0.0252364020155,2004.0,1.0,2004-01,82.46550970878454,27.169861007063567,49.239120364226714
Busia,Butula,0.0197391709166,2004.0,1.0,2004-01,87.87297961612543,25.50245730238391,40.9011170081853
Busia,Funyula,0.0222047765064,2004.0,1.0,2004-01,76.17576668660557,19.081814311453236,33.41142359377001
Busia,Matayos,0.0157547951116,2004.0,1.0,2004-01,84.21678054530219,21.60692288247,34.51871721266697
