S/No.,WRUA_NAME,SRO,Area,status,Basin (B),B_code,Areakm2,CentroidX,CentroidY,Subbasin
259,Athi Munyu Mweu,Upper Athi,142.7380066,Formed,ACA,20,142.73,37.30179,-1.134475,3DA
260,Gatamaiyu,Upper Athi,121.3850021,Formed,ACA,20,121.29,36.7138,-0.973178,3BC
261,Kamiti,Upper Athi,152.5469971,Formed,ACA,20,152.45,36.844506,-1.137148,3BB
262,Matungulu Kalala,Upper Athi,122.0410004,Formed,ACA,20,122.03,37.309749,-1.220737,3DA
263,Kiu,Upper Athi,101.7890015,Formed,ACA,20,101.72,36.812812,-1.14634,3BB
264,Bathi,Upper Athi,150.5529938,Formed,ACA,20,150.43,36.709215,-1.006123,3BC
265,Mukuyu,Upper Athi,92.60430145,Formed,ACA,20,92.54,36.824925,-1.099495,3BB
266,Ruiru,Upper Athi,152.3099976,Formed,ACA,20,152.23,36.91865,-1.077824,3BD
267,Thiririka,Upper Athi,169.2929993,Formed,ACA,20,169.19,36.835485,-1.004104,3BD
268,Ruabora,Upper Athi,75.06549835,Formed,ACA,20,75.01,36.781906,-0.940084,3CB
269,Ndarugu,Upper Athi,128.0570068,Formed,ACA,20,128.01,37.044821,-1.081957,3CB
270,Lower Athi Kilimambogo,Upper Athi,88.60150146,Formed,ACA,20,88.59,37.20687,-1.087388,3DA
271,Komo Gatuanyaga,Upper Athi,112.1080017,Not Formed,ACA,20,112.07,37.065956,-1.060158,3CB
272,Githombokoni Madune,Upper Athi,106.2330017,Formed,ACA,20,106.16,36.789631,-0.92662,3CB
273,Theta,Upper Athi,144.7539978,Formed,ACA,20,144.67,36.871454,-1.038175,3BD
274,Athi Yatta,Upper Athi,113.2860031,Formed,ACA,20,113.29,37.43883,-1.189953,3DA
275,Mbiuni,Upper Athi,120.4160004,Formed,ACA,20,120.42,37.41971,-1.25896,3DA
276,Makutano Mango,Upper Athi,87.89559937,Formed,ACA,20,87.9,37.478389,-1.357695,3DA
277,Miindu,Upper Athi,102.7750015,Formed,ACA,20,102.78,37.45096,-1.319525,3DA
278,Indalalekutok,Nairobi,144.0780029,Not Formed,ACA,20,143.97,36.76233,-1.689981,3AB
279,Isinya,Nairobi,173.923996,Formed,ACA,20,173.82,36.863383,-1.688702,3AB
280,Kamuthanga,Nairobi,167.5019989,Not Formed,ACA,20,155,37.195541,-1.265475,3AC
281,Kathiani,Nairobi,200.2640076,Formed,ACA,20,200.18,36.998449,-1.387925,3AC
282,Onkaru,Nairobi,174.0480042,Formed,ACA,20,173.9,36.680512,-1.209835,3BA
283,Kisaju,Nairobi,185.6519928,Formed,ACA,20,185.52,36.797871,-1.616809,3AB
284,Kiserian,Nairobi,179.1849976,Formed,ACA,20,179.05,36.758698,-1.431579,3AA
285,Kitanga Stony Athi,Nairobi,135.298996,Not Formed,ACA,20,135.25,37.08499,-1.486238,3AB
286,Kitengela Shookil,Nairobi,212.8580017,Formed,ACA,20,212.72,36.814596,-1.47748,3AA
287,Kongoni,Nairobi,121.8010025,Formed,ACA,20,107.13,37.162455,-1.341378,3AC
288,Konza,Nairobi,144.6049957,Formed,ACA,20,144.57,37.172028,-1.701076,3AB
289,Kyaani,Nairobi,153.0480042,Not Formed,ACA,20,153.01,37.132309,-1.423417,3AC
290,Kyamutheke,Nairobi,227.798996,Formed,ACA,20,227.72,37.066035,-1.595665,3AB
291,Lukenya Mulolongo,Nairobi,100.4349976,Formed,ACA,20,100.39,36.969117,-1.506324,3AB
292,Besmo,Nairobi,154.5240021,Formed,ACA,20,154.43,36.833304,-1.375358,3AA
293,Mbagathi,Nairobi,152.7299957,Formed,ACA,20,152.6,36.693322,-1.353839,3AA
294,Kirichwa,Nairobi,159.4470062,Formed,ACA,20,159.35,36.82909,-1.290569,3BA
295,Olooloitikoshi,Nairobi,136.7830048,Formed,ACA,20,136.69,36.809873,-1.541726,3AB
296,Kajoma,Nairobi,173.9750061,Formed,ACA,20,173.91,37.026454,-1.306018,3AC
297,Gitangu Gitathuro,Nairobi,124.6139984,Formed,ACA,20,124.52,36.754108,-1.22135,3BA
298,Rimpa,Nairobi,173.7279968,Formed,ACA,20,173.64,36.926381,-1.776721,3AB
299,Gatharaini,Nairobi,101.2809982,Not Formed,ACA,20,101.22,36.87165,-1.197254,3BB
300,Mweteta,Nairobi,158.4579926,Formed,ACA,20,158.33,36.741343,-1.162352,3BA
301,Athi Kamuthanga,Nairobi,72.33439636,Formed,ACA,20,72.32,37.200379,-1.157379,3AC
302,Ilasit,Nairobi,151.5930023,Formed,ACA,20,151.54,37.038769,-1.683148,3AB
303,Ruai,Nairobi,137.1799927,Formed,ACA,20,137.12,37.021987,-1.255322,3BA
304,Enkejo Oolowurak,Nairobi,84.54660034,Not Formed,ACA,20,84.49,36.807883,-1.579927,3AB
305,Olturoto,Nairobi,146.397995,Not Formed,ACA,20,146.33,36.971984,-1.696868,3AB
306,Athi Kyase,Mid Athi,156.1629944,Not Formed,ACA,20,156.23,37.884709,-1.945241,3FA
307,Athi Kwamilu,Mid Athi,212.8209991,Not Formed,ACA,20,212.91,37.86471,-1.85128,3FA
308,Mueetha/ Kyanzonzo,Mid Athi,104.3310013,Formed,ACA,20,104.37,37.774698,-1.624971,3DB
309,Mivukoni Kyambuli,Mid Athi,173.3690033,Formed,ACA,20,173.41,37.663873,-1.496177,3DB
310,Athi Ndithini,Mid Athi,104.5210037,Not Formed,ACA,20,104.55,37.753086,-1.55064,3DB
311,Miondoni,Mid Athi,118.7669983,Not Formed,ACA,20,118.79,37.616511,-1.394724,3DB
312,Bisil,Mid Athi,105.5790024,Not Formed,ACA,20,105.52,36.898666,-2.106976,3FA
313,Lauka,Mid Athi,168.8800049,Formed,ACA,20,168.91,37.546173,-1.481751,3EB
314,Emisira,Mid Athi,206.8200073,Not Formed,ACA,20,206.77,37.146801,-2.253556,3FA
315,Emotoroki,Mid Athi,185.7940063,Not Formed,ACA,20,185.73,37.053096,-2.251256,3FA
316,Morgo,Mid Athi,184.2460022,Not Formed,ACA,20,184.13,36.835156,-1.967,3FA
317,Eselenkei,Mid Athi,183.4190063,Not Formed,ACA,20,183.39,37.224378,-2.276761,3FA
318,Esonorua,Mid Athi,193.9049988,Not Formed,ACA,20,193.89,37.315323,-2.312402,3FA
319,Esteti,Mid Athi,100.5390015,Not Formed,ACA,20,100.56,37.590113,-2.251154,3FA
320,Ilbisil,Mid Athi,206.7079926,Not Formed,ACA,20,206.56,36.779015,-2.087359,3FA
321,Kali(Itetani),Mid Athi,109.2419968,Formed,ACA,20,109.24,37.395666,-1.581297,3EB
322,Kathithyamaa,Mid Athi,100.2529984,Formed,ACA,20,125.07,37.281453,-1.332483,3EA
323,Mbuuni Kithangaini Ithaeni,Mid Athi,140.0160065,Formed,ACA,20,140.01,37.354934,-1.430717,3EA
324,Kathyaka Itheethe,Mid Athi,207.1750031,Not Formed,ACA,20,207.28,38.024178,-2.307971,3FB
325,Kiangini Kyale,Mid Athi,145.2850037,Not Formed,ACA,20,145.33,37.760779,-2.093768,3FA
326,Kiboko,Mid Athi,180.2899933,Formed,ACA,20,180.35,37.768045,-2.207149,3FA
327,Kiboko Merueshi,Mid Athi,109.4219971,Not Formed,ACA,20,109.44,37.568616,-2.329332,3FA
328,Kibwezi,Mid Athi,664.3029785,Formed,ACA,20,664.6,37.949122,-2.431845,3FB
329,Muooni Twaandu,Mid Athi,103.1900024,Formed,ACA,20,103.23,37.879518,-2.106931,3FA
330,Kwa Mukumi,Mid Athi,128.8399963,Formed,ACA,20,128.86,37.520441,-1.942619,3FA
331,Kima Kiu,Mid Athi,200.0650024,Not Formed,ACA,20,200.12,37.688114,-2.328695,3FA
332,Kinikini,Mid Athi,148.2290039,Not Formed,ACA,20,148.13,36.820353,-1.885795,3FA
333,Kithasyu,Mid Athi,218.4060059,Not Formed,ACA,20,218.51,37.965903,-2.060862,3FA
334,Kwandisha,Mid Athi,111.9309998,Not Formed,ACA,20,111.96,37.670494,-2.477706,3FA
335,Kyakoka Wamoi,Mid Athi,100.4950027,Formed,ACA,20,100.49,37.309583,-1.633699,3EB
336,Kanzanzu,Mid Athi,166.2599945,Formed,ACA,20,166.31,37.716803,-1.95473,3FA
337,Lagarama,Mid Athi,154.0410004,Not Formed,ACA,20,154.06,37.506988,-2.468979,3FA
338,Lambagai Oldoinyo,Mid Athi,217.1869965,Not Formed,ACA,20,217.23,37.591261,-2.445087,3FA
339,Lengesim,Mid Athi,106.9380035,Not Formed,ACA,20,106.92,37.240734,-2.370614,3FA
340,Ngutwa Nduenguu,Mid Athi,213.1399994,Formed,ACA,20,213.18,37.608196,-1.779935,3EC
341,Lower Kambu,Mid Athi,317.6520081,Not Formed,ACA,20,317.85,38.253518,-2.572876,3FB
342,Lower Kibini,Mid Athi,205.5980072,Not Formed,ACA,20,205.62,37.476592,-2.125303,3FA
343,Lower Ngatatayek,Mid Athi,222.173996,Not Formed,ACA,20,222.09,37.058892,-2.400774,3FA
344,Lower Ol Kejuado,Mid Athi,202.1060028,Not Formed,ACA,20,202.06,37.185844,-2.414169,3FA
345,Lurmuti,Mid Athi,201.1130066,Not Formed,ACA,20,201.14,37.555879,-2.205447,3FA
346,Makindu,Mid Athi,204.4160004,Formed,ACA,20,204.49,37.812343,-2.279081,3FA
347,Maruba,Mid Athi,101.3889999,Formed,ACA,20,103.66,37.235791,-1.48912,3EA
348,Lumbwa,Mid Athi,184.8419952,Formed,ACA,20,184.81,37.206966,-1.598805,3EA
349,Mashuru,Mid Athi,131.3880005,Not Formed,ACA,20,131.35,37.121722,-2.027106,3FA
350,Kikuu,Mid Athi,125.9769974,Formed,ACA,20,126,37.586112,-1.986299,3FA
351,Mathingau,Mid Athi,125.9960022,Not Formed,ACA,20,126.02,37.576304,-1.266035,3DB
352,Mwambwani,Mid Athi,134.102005,Formed,ACA,20,134.12,37.486326,-1.869477,3FA
353,Mbimbini,Mid Athi,122.3820038,Formed,ACA,20,122.41,37.680932,-1.710092,3ED
354,Mbui Nzau,Mid Athi,111.0579987,Formed,ACA,20,111.1,37.863438,-2.272806,3FA
355,Mwengu,Mid Athi,139.776001,Formed,ACA,20,139.81,37.671237,-2.047992,3FA
356,Katani (MUOONI),Mid Athi,116.9229965,Not Formed,ACA,20,116.92,37.38752,-1.95502,3FA
357,Mid Olkejuado,Mid Athi,136.5659943,Not Formed,ACA,20,136.48,36.855518,-2.055676,3FA
358,Muvaa Muoni,Mid Athi,130.6369934,Not Formed,ACA,20,130.63,37.298164,-1.414343,3EA
359,Mtito Andei,Mid Athi,1534.319946,Not Formed,ACA,20,1535.27,38.24479,-2.778425,3FB
360,Ikolya Kalembwani Mukaa,Mid Athi,204.6320038,Formed,ACA,20,204.6,37.219002,-1.932699,3FA
361,Mukononi,Mid Athi,122.8840027,Not Formed,ACA,20,122.94,37.926819,-2.254193,3FB
362,Mutuluni,Mid Athi,213.4579926,Not Formed,ACA,20,213.59,38.211029,-2.491841,3FB
363,Mwania Iini,Mid Athi,100.1910019,Not Formed,ACA,20,100.18,37.307227,-1.541165,3EA
364,Mwilu,Mid Athi,143.9019928,Not Formed,ACA,20,143.93,37.616593,-1.912922,3FA
365,Nendanai,Mid Athi,184.6829987,Not Formed,ACA,20,184.59,36.925715,-2.263415,3FA
366,Ngatataek,Mid Athi,236.003006,Not Formed,ACA,20,235.86,36.8563,-2.268219,3FA
367,Maparasha,Mid Athi,148.8630066,Not Formed,ACA,20,148.79,36.94391,-2.1774,3FA
368,Olchurai,Mid Athi,143.9409943,Not Formed,ACA,20,143.89,37.083291,-2.112744,3FA
369,Olenarau,Mid Athi,214.1419983,Not Formed,ACA,20,214.04,36.95656,-1.879098,3FA
370,Oloro Samgab,Mid Athi,163.6660004,Not Formed,ACA,20,163.63,37.194933,-2.077106,3FA
371,Olosideti,Mid Athi,161.6690063,Not Formed,ACA,20,161.68,37.454949,-2.298778,3FA
372,Oltinka,Mid Athi,222.1060028,Not Formed,ACA,20,222.09,37.288693,-2.505274,3FA
373,Ongata Olenareka,Mid Athi,154.9179993,Not Formed,ACA,20,154.92,37.426364,-2.537018,3FA
374,Kipa,Mid Athi,261.2839966,Not Formed,ACA,20,261.17,37.007254,-2.018216,3FA
375,Mukaa,Mid Athi,109.4990005,Formed,ACA,20,109.49,37.266549,-1.907522,3FA
376,Sideti,Mid Athi,232.25,Not Formed,ACA,20,232.26,37.448483,-2.36373,3FA
377,Simba,Mid Athi,129.8970032,Not Formed,ACA,20,129.93,37.648531,-2.132449,3FA
378,Tawa Utithini,Mid Athi,121.564003,Not Formed,ACA,20,121.58,37.512571,-1.589946,3EB
379,Uaani,Mid Athi,102.8710022,Formed,ACA,20,102.89,37.562596,-1.631876,3ED
380,Thange,Mid Athi,568.5930176,Formed,ACA,20,568.91,38.094736,-2.433438,3FB
381,Thwake Kalawa,Mid Athi,143.147995,Formed,ACA,20,143.2,37.770725,-1.719898,3ED
382,Kaiti Kambi,Mid Athi,125.7089996,Formed,ACA,20,125.75,37.720564,-1.815536,3ED
383,Mukio Thwake,Mid Athi,173.9730072,Formed,ACA,20,174.01,37.630427,-1.63364,3ED
384,Tutini Muooni,Mid Athi,124.9110031,Formed,ACA,20,124.93,37.514105,-2.052629,3FA
385,Ulu,Mid Athi,223.6840057,Not Formed,ACA,20,223.63,37.151014,-1.810709,3FA
386,Upper Kaiti,Mid Athi,152.1029968,Formed,ACA,20,152.11,37.446852,-1.776182,3EC
387,Upper Kambu,Mid Athi,367.927002,Formed,ACA,20,368.11,38.008446,-2.606482,3FB
388,Upper Kibini,Mid Athi,229.845993,Not Formed,ACA,20,229.84,37.341331,-2.165869,3FA
389,Upper Mikuyuni,Mid Athi,182.996994,Not Formed,ACA,20,182.98,37.305522,-1.739923,3EC
390,Upper Olkejuado,Mid Athi,170.4429932,Not Formed,ACA,20,170.32,36.757651,-1.804184,3FA
391,Kiumi,Mid Athi,120.8050003,Formed,ACA,20,120.81,37.438579,-1.482086,3EB
392,Utangwa,Mid Athi,159.2339935,Formed,ACA,20,159.24,37.447425,-1.704025,3EC
393,Uvete,Mid Athi,113.6039963,Not Formed,ACA,20,113.6,37.376257,-1.872819,3FA
394,Wikyaa,Mid Athi,200.3450012,Not Formed,ACA,20,200.45,38.021128,-2.199209,3FB
395,Kitaingo Kiongwani,Mid Athi,105.737999,Formed,ACA,20,105.73,37.298,-1.835217,3FA
396,Athi Mutembuku,Mid Athi,100.7399979,Not Formed,ACA,20,100.78,37.836165,-1.718399,3DB
397,Athi Kyawango,Mid Athi,106.4980011,Not Formed,ACA,20,106.51,37.546972,-1.350758,3DB
398,Kangundo Kawathei Kathaana,Mid Athi,79.02429962,Not Formed,ACA,20,79.02,37.295725,-1.349122,3EA
399,Yandue/ Mbanya,Mid Athi,85.94819641,Formed,ACA,20,85.95,37.449755,-1.607867,3EB
400,Londokwe,Mid Athi,161.8059998,Formed,ACA,20,161.87,37.832787,-1.969639,3FA
401,Ngomano,Mid Athi,109.3949966,Formed,ACA,20,109.39,37.355528,-2.010553,3FA
402,Olopolosi,Mid Athi,179.3880005,Not Formed,ACA,20,179.37,37.28093,-2.069827,3FA
403,Il Munkush,Mid Athi,119.8980026,Formed,ACA,20,119.86,37.064369,-1.870893,3FA
404,Oldoinyo Orok,Noltresh Lumi,295.2890015,Formed,ACA,20,295.11,36.851538,-2.508757,3N
405,Namanga,Noltresh Lumi,247.3049927,Not Formed,ACA,20,247.2,37.002764,-2.595993,3N
406,Kamwanga,Noltresh Lumi,704.9439697,Not Formed,ACA,20,704.81,37.23472,-2.691774,3N
407,Mbokuani,Noltresh Lumi,166.8150024,Not Formed,ACA,20,166.88,37.814485,-3.009204,3G
408,Olgulului,Noltresh Lumi,151.9129944,Not Formed,ACA,20,151.89,37.268457,-2.568613,3N
409,Ilkisonko,Noltresh Lumi,123.3590012,Formed,ACA,20,123.38,37.567524,-2.734972,3G
410,Nasalamuana,Noltresh Lumi,124.0800018,Formed,ACA,20,124.09,37.473332,-2.844598,3G
411,Lower Lumi,Noltresh Lumi,693.2390137,Formed,ACA,20,693.47,37.758657,-3.482659,3J
412,Lower Nolturesh,Noltresh Lumi,103.5830002,Not Formed,ACA,20,103.63,37.889542,-2.966121,3G
413,Esoit Pus,Noltresh Lumi,677.1110229,Formed,ACA,20,677.37,37.840474,-2.792633,3G
414,Osoit Entarara,Noltresh Lumi,114.1220016,Formed,ACA,20,114.15,37.626159,-2.975342,3G
415,Nalepo,Noltresh Lumi,136.8200073,Formed,ACA,20,136.86,37.755364,-3.079842,3G
416,Njukini Tsavo,Noltresh Lumi,317.1940002,Not Formed,ACA,20,317.31,37.804769,-3.184637,3G
417,Olengatunyo,Noltresh Lumi,184.0749969,Not Formed,ACA,20,184.14,37.758786,-2.920198,3G
418,Olngoswa,Noltresh Lumi,258.0419922,Not Formed,ACA,20,258.08,37.541692,-2.634365,3G
419,Shilishili,Noltresh Lumi,420.1889954,Not Formed,ACA,20,420.31,37.714458,-2.569216,3G
420,Upper Lumi,Noltresh Lumi,177.9190063,Formed,ACA,20,177.98,37.759695,-3.270924,3J
421,Nolturesh,Noltresh Lumi,353.6809998,Formed,ACA,20,353.76,37.628031,-2.815626,3G
422,Kisima,Noltresh Lumi,186.598999,Not Formed,ACA,20,186.71,38.207975,-3.287064,3G
423,Wanjala,Noltresh Lumi,238.7630005,Not Formed,ACA,20,238.9,38.144473,-3.235978,3G
424,Mgange,Noltresh Lumi,260.25,Not Formed,ACA,20,260.42,38.278537,-3.249611,3G
425,Kifaru,Noltresh Lumi,173.1940002,Not Formed,ACA,20,173.31,38.383249,-3.175325,3G
426,Enderkesi,Noltresh Lumi,164.5189972,Not Formed,ACA,20,164.36,36.591063,-2.304591,3N
427,Oloshooibor Lolayioni,Noltresh Lumi,104.0400009,Not Formed,ACA,20,103.94,36.594641,-2.352858,3N
428,Lesonkoyo Parsilet,Noltresh Lumi,91.27110291,Not Formed,ACA,20,91.19,36.631545,-2.41577,3N
429,Kiyopiyop,Noltresh Lumi,70.88569641,Not Formed,ACA,20,70.83,36.702916,-2.469021,3N
430,Lesonkoyo Kipaipeut,Noltresh Lumi,137.272995,Not Formed,ACA,20,137.16,36.713913,-2.3715,3N
431,Esokota,Noltresh Lumi,100.4869995,Not Formed,ACA,20,100.41,36.763557,-2.323931,3N
432,Esokota Ngabole Luanat,Noltresh Lumi,120.7839966,Not Formed,ACA,20,120.71,36.842426,-2.384643,3N
433,Nosikitok,Noltresh Lumi,110.1949997,Not Formed,ACA,20,110.14,36.922856,-2.415449,3N
434,Letumoke Aspen Nkito,Noltresh Lumi,193.0449982,Not Formed,ACA,20,192.98,37.050088,-2.508423,3N
435,Lemongo,Noltresh Lumi,100.961998,Not Formed,ACA,20,100.99,37.738668,-3.050739,3G
436,Elerai Amboseli,Noltresh Lumi,294.197998,Formed,ACA,20,294.21,37.424859,-2.760854,3N
437,Motikanju,Noltresh Lumi,178.5690002,Not Formed,ACA,20,178.6,37.567566,-2.822781,3G
438,Lipartimara,Noltresh Lumi,201.8289948,Not Formed,ACA,20,201.66,36.679732,-2.213835,3N
439,Mwangaro,Noltresh Lumi,397.1669922,Not Formed,ACA,20,397.4,38.152439,-3.598919,3J
440,Upper Tsavo,Noltresh Lumi,2449.399902,Not Formed,ACA,20,2450.76,38.145813,-3.074706,3G
441,Kedai,Coastal Athi,107.9789963,Not Formed,ACA,20,108.05,38.362427,-3.286651,3HA
442,Rongo,Coastal Athi,267.1459961,Not Formed,ACA,20,267.34,38.493266,-3.222521,3HA
443,Upper Mwatate,Coastal Athi,204.2559967,Formed,ACA,20,204.4,38.383896,-3.557978,3MA
444,Lower Mwatate,Coastal Athi,158.0670013,Formed,ACA,20,158.18,38.461053,-3.706244,3MA
445,Kisenyi,Coastal Athi,118.4029999,Formed,ACA,20,118.48,38.381432,-3.372739,3LA
446,Wundanyi,Coastal Athi,211.3220062,Formed,ACA,20,211.47,38.445898,-3.465657,3LA
447,Ndome Irima,Coastal Athi,370.3670044,Formed,ACA,20,370.64,38.603847,-3.294042,3LA
448,Kavisago,Coastal Athi,175.4589996,Not Formed,ACA,20,175.58,38.363185,-3.666692,3MA
449,Upper Bura,Coastal Athi,215.0370026,Formed,ACA,20,215.17,38.274372,-3.491629,3M
450,Lower Bura,Coastal Athi,318.6329956,Formed,ACA,20,318.84,38.316904,-3.753093,3MA
451,Middle Bura,Coastal Athi,129.5579987,Not Formed,ACA,20,129.64,38.237526,-3.617933,3MA
452,Mashimoni,Coastal Athi,129.2619934,Not Formed,ACA,20,129.34,38.183511,-3.461702,3MA
453,Mvosa A,Coastal Athi,554.75,Formed,ACA,20,555.17,38.663908,-3.439936,3LA
454,Mvosa B,Coastal Athi,497.9960022,Formed,ACA,20,498.38,38.65772,-3.569022,3LA
455,Moda Mengo,Coastal Athi,225.3350067,Formed,ACA,20,225.5,38.549962,-3.682579,3MA
456,Rukanga,Coastal Athi,154.7599945,Formed,ACA,20,154.88,38.605459,-3.83493,3MA
457,Bura Kisugunua,Coastal Athi,151.3150024,Not Formed,ACA,20,151.43,38.513536,-3.85825,3MA
458,Murinjo Kiraze,Coastal Athi,338.0079956,Not Formed,ACA,20,338.25,38.535339,-4.131259,3K
459,Kwamgola Migongoni,Coastal Athi,482.2479858,Not Formed,ACA,20,482.6,38.552645,-3.979482,3MA
460,Siranga,Coastal Athi,143.7879944,Not Formed,ACA,20,143.9,38.654649,-4.177836,3K
461,Mwachinjoro,Coastal Athi,140.3280029,Not Formed,ACA,20,140.44,38.714122,-4.246665,3K
462,Bunguta,Coastal Athi,261.0499878,Formed,ACA,20,261.25,38.717223,-3.730809,3MA
463,Kirongwe Rukinga,Coastal Athi,241.5220032,Formed,ACA,20,241.71,38.838387,-3.758447,3MA
464,Kizima Bomani,Coastal Athi,172.8190002,Not Formed,ACA,20,172.96,38.888564,-3.865293,3MA
465,Dare,Coastal Athi,321.3989868,Not Formed,ACA,20,321.65,38.745937,-3.926154,3MA
466,Kivindara,Coastal Athi,284.776001,Not Formed,ACA,20,285,38.783562,-4.021267,3MA
467,Ndokoko Lukakani,Coastal Athi,143.677002,Formed,ACA,20,143.79,38.906789,-4.037562,3MC
468,Lower Lukakani,Coastal Athi,190.9869995,Not Formed,ACA,20,191.14,38.837527,-4.12807,3MC
469,Mlunguni,Coastal Athi,144.6170044,Formed,ACA,20,144.73,39.093244,-4.002081,3MA
470,Mwatate Nikipitao,Coastal Athi,100.7310028,Not Formed,ACA,20,100.81,39.023277,-4.084122,3MC
471,Puma,Coastal Athi,175.5890045,Not Formed,ACA,20,175.73,39.185643,-4.117202,3MC
472,Umba,Coastal Athi,231.951004,Not Formed,ACA,20,232.12,38.795756,-4.29614,3K
473,Barani,Coastal Athi,244.1490021,Formed,ACA,20,244.34,39.014386,-3.943947,3MA
474,Birikani,Coastal Athi,309.3099976,Formed,ACA,20,309.56,39.006858,-3.800969,3MA
475,Magombe Shariani,Coastal Athi,225.5650024,Formed,ACA,20,225.75,39.04508,-3.717466,3MA
476,Gombo Bomani,Coastal Athi,256.0409851,Formed,ACA,20,256.24,39.135636,-3.861885,3MA
477,Mwadudua Vigurungani,Coastal Athi,170.0950012,Formed,ACA,20,170.23,39.180794,-4.023681,3MA
478,Nyongoni,Coastal Athi,186.3110046,Formed,ACA,20,186.46,39.252988,-3.816805,3MB
479,Mwaruphesa Dambale,Coastal Athi,205.6529999,Formed,ACA,20,205.82,39.191709,-3.645214,3MB
480,Mwang'ombe,Coastal Athi,176.3289948,Formed,ACA,20,176.47,39.236718,-3.714931,3MB
481,Gude Dambale,Coastal Athi,157.3150024,Formed,ACA,20,157.43,39.337325,-3.721506,3MB
482,Manjewa,Coastal Athi,218.9360046,Formed,ACA,20,219.11,39.284091,-3.621983,3MB
483,Magombani  Kirindini,Coastal Athi,214.4889984,Not Formed,ACA,20,214.66,38.978417,-4.286145,3K
484,Upper Ramisi,Coastal Athi,240.371994,Not Formed,ACA,20,240.56,38.930017,-4.177692,3K
485,Mukungani Kanyumbuni,Coastal Athi,200.4940033,Not Formed,ACA,20,200.65,39.11219,-4.19279,3K
486,Gandini,Coastal Athi,130.6950073,Not Formed,ACA,20,130.8,39.063408,-4.280749,3K
487,Kilingoni Tiribe,Coastal Athi,138.7899933,Not Formed,ACA,20,138.9,39.19764,-4.301016,3K
488,Eastern Dzombo,Coastal Athi,242.6990051,Formed,ACA,20,242.89,39.22984,-4.367919,3K
489,Lovu Kibuyuni Mwazare,Coastal Athi,139.802002,Not Formed,ACA,20,139.91,39.334328,-4.377029,3K
490,Ramisi,Coastal Athi,156.4920044,Formed,ACA,20,156.61,39.412085,-4.46386,3K
491,Mkurumudzi,Coastal Athi,187.7100067,Formed,ACA,20,187.85,39.431716,-4.351152,3K
492,Lower Umba,Coastal Athi,105.072998,Not Formed,ACA,20,105.16,39.166291,-4.611366,3K
493,Mwena Miuyuni,Coastal Athi,211.8450012,Not Formed,ACA,20,212.01,38.999509,-4.436727,3K
494,Mwena Mwangulu,Coastal Athi,207.1990051,Not Formed,ACA,20,207.36,39.031944,-4.403443,3K
495,Tsimba Tiwi,Coastal Athi,216.2230072,Formed,ACA,20,216.38,39.513071,-4.246509,3K
496,Mbuguni,Coastal Athi,193.3309937,Formed,ACA,20,193.47,39.572203,-4.130378,3MD2
497,Mwainzi,Coastal Athi,164.0330048,Formed,ACA,20,164.15,39.460474,-4.141323,3MC
498,Gulanzi Mienzeni,Coastal Athi,106.4059982,Not Formed,ACA,20,106.49,39.297552,-4.155652,3MC
499,Mbadzi,Coastal Athi,223.0740051,Not Formed,ACA,20,223.25,39.300625,-4.227094,3MC
500,Chigulu Ngeyeni,Coastal Athi,126.9219971,Formed,ACA,20,127.02,39.286019,-3.913705,3MB
501,Marenje Mlunguni,Coastal Athi,112.4639969,Formed,ACA,20,112.55,39.273351,-4.028858,3MA
502,Mazola Mienzeni,Coastal Athi,164.2160034,Formed,ACA,20,164.34,39.391528,-4.053801,3MB
503,Mwang'ombe Ngoni,Coastal Athi,136.9340057,Formed,ACA,20,137.04,39.401654,-3.86105,3MB
504,Mwachiga,Coastal Athi,145.6900024,Formed,ACA,20,145.8,39.481453,-3.934695,3MB
505,Upper Mwache,Coastal Athi,130.8059998,Formed,ACA,20,130.9,39.388875,-3.968233,3MB
506,Guruguru,Coastal Athi,139.5789948,Not Formed,ACA,20,139.68,39.466555,-3.699032,3MD1
507,Wajimba Mwatsuma,Coastal Athi,135.6139984,Not Formed,ACA,20,135.71,39.486848,-3.791414,3MD1
508,Tsunza Madzi,Coastal Athi,126.0879974,Formed,ACA,20,126.18,39.525923,-3.903168,3MD1
509,Mgamboni Wacho,Coastal Athi,141.8159943,Not Formed,ACA,20,141.92,39.40978,-3.591103,3LA
510,Bamba,Coastal Athi,132.1450043,Not Formed,ACA,20,132.24,39.476789,-3.534923,3LA
511,Upper Ndzovuni,Coastal Athi,185.9019928,Not Formed,ACA,20,186.03,39.540552,-3.635185,3LA
512,Mto Mkuu Mtwapa,Coastal Athi,123.8379974,Not Formed,ACA,20,123.92,39.735207,-3.854566,3MD1
513,Bakiko,Coastal Athi,52.18619919,Formed,ACA,20,52.22,39.713177,-3.978995,3MD1
514,Lwandani Mtomkuu,Coastal Athi,125.1460037,Not Formed,ACA,20,125.23,39.673672,-3.845609,3MD1
515,Timboni Mjanaheri,Coastal Athi,208.3679962,Formed,ACA,20,208.46,40.121508,-3.038018,3HD
516,Fundisha,Coastal Athi,195.0200043,Not Formed,ACA,20,195.11,40.084889,-2.896207,3HD
517,Mansa,Coastal Athi,196.7460022,Not Formed,ACA,20,196.85,39.898128,-2.738145,3HC
518,Mansa Hadu,Coastal Athi,243.0820007,Not Formed,ACA,20,243.21,39.96049,-2.87461,3HC
