mean_predicted_probability,fraction_of_positives,bin_count,model
0.2604737881534704,0.08552631578947369,152,LogisticRegression
0.34315875869319873,0.08552631578947369,152,LogisticRegression
0.39725473957553104,0.06578947368421052,152,LogisticRegression
0.4451295423565458,0.06578947368421052,152,LogisticRegression
0.49298401428337446,0.07236842105263158,152,LogisticRegression
0.5423126117195576,0.0728476821192053,151,LogisticRegression
0.597251664059305,0.08552631578947369,152,LogisticRegression
0.668352577340087,0.09210526315789473,152,LogisticRegression
0.7523821630628253,0.10526315789473684,152,LogisticRegression
0.8748237621558982,0.29605263157894735,152,LogisticRegression
0.017309290616890786,0.1118421052631579,152,RandomForest
0.030522016019448175,0.07236842105263158,152,RandomForest
0.04119024920483461,0.03289473684210526,152,RandomForest
0.05986529080482067,0.046052631578947366,152,RandomForest
0.07899636241867565,0.07894736842105263,152,RandomForest
0.09548207906930817,0.033112582781456956,151,RandomForest
0.11427808435928895,0.11842105263157894,152,RandomForest
0.14243555071443464,0.13157894736842105,152,RandomForest
0.18784812258318673,0.13157894736842105,152,RandomForest
0.3102332307802427,0.26973684210526316,152,RandomForest
0.09398196678069469,0.06578947368421052,152,XGBoost
0.1684533239979493,0.07894736842105263,152,XGBoost
0.23740349259031446,0.09868421052631579,152,XGBoost
0.3158196961801303,0.06578947368421052,152,XGBoost
0.3999692317294447,0.08552631578947369,152,XGBoost
0.47479428301583854,0.09933774834437085,151,XGBoost
0.546533259514131,0.09868421052631579,152,XGBoost
0.6196349957271626,0.13815789473684212,152,XGBoost
0.6914085518372687,0.125,152,XGBoost
0.7828289227266061,0.17105263157894737,152,XGBoost
