County,SubCounty,panel_date,Year,Month,Population_Density_per_SqKm,Total_Population,total_abstraction_m3_per_day,wrua_count,Mean_NDVI,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent,conflict_onset,conflict_persistence,conflict_severity_weighted
Machakos,Masinga,2020-10-01,2020,10,106,148522,40.0,7.0,0.4086199519199003,39.09177501111644,-33.38989945577191,-46.37265232566366,False,0.22182847230022473,0.4233185093346554
Machakos,Masinga,2020-11-01,2020,11,106,148522,40.0,7.0,0.5211351348099389,177.79280702235627,-32.632633154305886,-15.772160318656171,False,0.21317483558125916,0.40680464815980016
Machakos,Masinga,2020-12-01,2020,12,106,148522,40.0,7.0,0.5400974082575616,56.427605609154114,-30.83513288469795,-35.35279957918003,False,0.20512190822227772,0.39143712941869563
Machakos,Masinga,2021-01-01,2021,1,106,148522,40.0,7.0,0.5417554514874344,26.63743767243013,-1.1471493735692142,-6.80008853179051,False,0.19712000270288965,0.37616697639830415
Machakos,Masinga,2021-02-01,2021,2,106,148522,40.0,7.0,0.4817348453642517,32.20452937453243,10.79894438736766,46.823947261665815,False,0.1894302554141662,0.3614925194827059
Machakos,Masinga,2021-03-01,2021,3,106,148522,40.0,7.0,0.409734311410824,47.97655478443466,-40.44742727616264,-45.73438226808316,True,0.18274284509772756,0.34873083683165007
Machakos,Masinga,2021-04-01,2021,4,106,148522,40.0,7.0,0.4422119349603097,180.95755881586223,-36.79930756477376,-16.74957830169328,False,1.1502685668502557,0.33512667707997645
Machakos,Masinga,2021-05-01,2021,5,106,148522,40.0,7.0,0.4629541527390875,147.05272863320693,64.98647538428455,85.81343414145604,False,1.1068158338533827,0.3224668770654801
Machakos,Masinga,2021-06-01,2021,6,106,148522,40.0,7.0,0.3370697446275693,1.6829892481793325,-3.9657652505794654,-87.23490961115907,False,1.0636384092349451,0.3098872871729469
Machakos,Masinga,2021-07-01,2021,7,106,148522,40.0,7.0,0.3546991629498218,13.340959326332626,5.111231581540621,60.97531911148032,False,1.0234582312020337,0.2981809344682707
