mean_predicted_probability,fraction_of_positives,bin_count,model
0.03713529961650976,0.10526315789473684,152,LogisticRegression
0.0519826600060307,0.05921052631578947,152,LogisticRegression
0.060795828661565764,0.039473684210526314,152,LogisticRegression
0.06806293927342556,0.046052631578947366,152,LogisticRegression
0.07675836457741961,0.07894736842105263,152,LogisticRegression
0.08988009406487349,0.08609271523178808,151,LogisticRegression
0.10464401634972643,0.09868421052631579,152,LogisticRegression
0.12601961484610785,0.13157894736842105,152,LogisticRegression
0.16238284987365148,0.13815789473684212,152,LogisticRegression
0.2980590839720512,0.24342105263157895,152,LogisticRegression
0.027264872765754095,0.039473684210526314,152,RandomForest
0.04315309380936939,0.08552631578947369,152,RandomForest
0.05449260140898788,0.07236842105263158,152,RandomForest
0.06563947024580465,0.07894736842105263,152,RandomForest
0.07921607668303815,0.05263157894736842,152,RandomForest
0.09799101063253106,0.06622516556291391,151,RandomForest
0.1232406520580209,0.13157894736842105,152,RandomForest
0.15605223240072597,0.13815789473684212,152,RandomForest
0.19173893283940938,0.17105263157894737,152,RandomForest
0.2308566258118546,0.19078947368421054,152,RandomForest
0.0021154491395894807,0.06578947368421052,152,XGBoost
0.006287122339831273,0.05263157894736842,152,XGBoost
0.013813952155607311,0.046052631578947366,152,XGBoost
0.02580750652735955,0.09210526315789473,152,XGBoost
0.04811727878098425,0.17105263157894737,152,XGBoost
0.0842260257988576,0.07947019867549669,151,XGBoost
0.14109654665777557,0.07894736842105263,152,XGBoost
0.25285309219830915,0.10526315789473684,152,XGBoost
0.43189827980179535,0.15789473684210525,152,XGBoost
0.6907696492577854,0.17763157894736842,152,XGBoost
