mean_predicted_probability,fraction_of_positives,bin_count,model
0.2675320673069127,0.05263157894736842,152,LogisticRegression
0.3821863292695521,0.10526315789473684,152,LogisticRegression
0.4870548434034525,0.039473684210526314,152,LogisticRegression
0.542149925666697,0.07236842105263158,152,LogisticRegression
0.579859673817451,0.05921052631578947,152,LogisticRegression
0.6128964846613308,0.059602649006622516,151,LogisticRegression
0.6513775029808198,0.13157894736842105,152,LogisticRegression
0.6952200683856703,0.09210526315789473,152,LogisticRegression
0.7533958740356911,0.15789473684210525,152,LogisticRegression
0.8503194284435931,0.2565789473684211,152,LogisticRegression
0.03141385142733993,0.046052631578947366,152,RandomForest
0.0460245020115307,0.039473684210526314,152,RandomForest
0.06148206934639333,0.07894736842105263,152,RandomForest
0.07694918498263478,0.06578947368421052,152,RandomForest
0.09350827255214228,0.07236842105263158,152,RandomForest
0.11018490765970687,0.10596026490066225,151,RandomForest
0.13204345896963207,0.07894736842105263,152,RandomForest
0.15401211333559006,0.1118421052631579,152,RandomForest
0.1799863632810983,0.18421052631578946,152,RandomForest
0.226312025928341,0.24342105263157895,152,RandomForest
0.09744496625161876,0.05921052631578947,152,XGBoost
0.20332526650867963,0.09210526315789473,152,XGBoost
0.2908515762537718,0.07894736842105263,152,XGBoost
0.3746545328513572,0.05921052631578947,152,XGBoost
0.44799775140065895,0.09868421052631579,152,XGBoost
0.5161597330049174,0.11920529801324503,151,XGBoost
0.5797939163289572,0.10526315789473684,152,XGBoost
0.6487289067161711,0.08552631578947369,152,XGBoost
0.7065285016831598,0.125,152,XGBoost
0.7845766289453757,0.20394736842105263,152,XGBoost
