mean_predicted_probability,fraction_of_positives,bin_count,model
0.03430723759864416,0.10526315789473684,152,LogisticRegression
0.046775403649485015,0.05263157894736842,152,LogisticRegression
0.0559498305707941,0.07894736842105263,152,LogisticRegression
0.06541844519262886,0.05921052631578947,152,LogisticRegression
0.07675841162271903,0.05263157894736842,152,LogisticRegression
0.09184601909174422,0.09933774834437085,151,LogisticRegression
0.111790136649483,0.10526315789473684,152,LogisticRegression
0.1392966399200186,0.06578947368421052,152,LogisticRegression
0.18876540459966848,0.1118421052631579,152,LogisticRegression
0.33573969261866915,0.29605263157894735,152,LogisticRegression
0.03220195024215453,0.05263157894736842,152,RandomForest
0.04062205000754199,0.07894736842105263,152,RandomForest
0.05019181565262196,0.05921052631578947,152,RandomForest
0.060416392118659734,0.1118421052631579,152,RandomForest
0.07455611479003965,0.019736842105263157,152,RandomForest
0.10358315349510844,0.06622516556291391,151,RandomForest
0.12813338937113072,0.125,152,RandomForest
0.15861308377822034,0.125,152,RandomForest
0.18806329140173345,0.15789473684210525,152,RandomForest
0.2449115010466712,0.23026315789473684,152,RandomForest
0.09223810076027324,0.06578947368421052,152,XGBoost
0.1695159237439695,0.05921052631578947,152,XGBoost
0.2489624084218552,0.05921052631578947,152,XGBoost
0.3336602443535077,0.09210526315789473,152,XGBoost
0.4267892445388593,0.08552631578947369,152,XGBoost
0.5256929474555894,0.07947019867549669,151,XGBoost
0.6067515478322381,0.09868421052631579,152,XGBoost
0.6745976268460876,0.11842105263157894,152,XGBoost
0.7436460727139523,0.17763157894736842,152,XGBoost
0.8240689372545794,0.19078947368421054,152,XGBoost
