model,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,0.8959842001316656,0.4,0.02564102564102564,0.04819277108433735,0.6572558647026732,0.22730176570586333
RandomForest,0.8973008558262014,0.0,0.0,0.0,0.6539731361815,0.18245907698063396
XGBoost,0.857801184990125,0.13414634146341464,0.07051282051282051,0.09243697478991597,0.5928287901875576,0.13588110705081613
