mean_predicted_probability,fraction_of_positives,bin_count,model
0.0353426879036145,0.09210526315789473,152,LogisticRegression
0.05030171163839764,0.05263157894736842,152,LogisticRegression
0.05930768239448565,0.046052631578947366,152,LogisticRegression
0.06670779439924122,0.06578947368421052,152,LogisticRegression
0.07582119092896411,0.046052631578947366,152,LogisticRegression
0.08649570137079324,0.09933774834437085,151,LogisticRegression
0.10025951326185951,0.08552631578947369,152,LogisticRegression
0.11831860854177303,0.1118421052631579,152,LogisticRegression
0.1540535312875251,0.16447368421052633,152,LogisticRegression
0.3000696581365214,0.2631578947368421,152,LogisticRegression
0.026271440845621323,0.07236842105263158,152,RandomForest
0.04263993676715261,0.05921052631578947,152,RandomForest
0.05611277569835262,0.046052631578947366,152,RandomForest
0.06826881455452886,0.05263157894736842,152,RandomForest
0.0801588012559934,0.05263157894736842,152,RandomForest
0.09554588461998416,0.11258278145695365,151,RandomForest
0.11843604799287698,0.10526315789473684,152,RandomForest
0.14414805335792086,0.13157894736842105,152,RandomForest
0.17160669318677294,0.19078947368421054,152,RandomForest
0.22201485701254228,0.20394736842105263,152,RandomForest
0.00025487556001137007,0.06578947368421052,152,XGBoost
0.0011320156941349666,0.02631578947368421,152,XGBoost
0.0030070612625231184,0.08552631578947369,152,XGBoost
0.0065128098940476775,0.125,152,XGBoost
0.012544278116700681,0.07894736842105263,152,XGBoost
0.027100882967872334,0.11920529801324503,151,XGBoost
0.05283201265295869,0.11842105263157894,152,XGBoost
0.09949873387813568,0.09868421052631579,152,XGBoost
0.21293659557245279,0.18421052631578946,152,XGBoost
0.5430597104132175,0.125,152,XGBoost
