model,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,0.8966425279789335,0.4444444444444444,0.02564102564102564,0.048484848484848485,0.6638965705363358,0.20887450442376432
RandomForest,0.7662936142198815,0.18006430868167203,0.358974358974359,0.2398286937901499,0.6374325112402882,0.1709433208687759
XGBoost,0.8670177748518763,0.25,0.14743589743589744,0.18548387096774194,0.605432962733036,0.17043839630343255
