model,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,0.41013824884792627,0.12563323201621074,0.7898089171974523,0.21678321678321677,0.6612325448712553,0.21751934820379215
RandomForest,0.8966425279789335,0.0,0.0,0.0,0.6754772393538913,0.2124679741973226
XGBoost,0.5734035549703752,0.13412816691505217,0.5732484076433121,0.21739130434782608,0.6112428332257732,0.15680708211611633
