Year,conflict_onset
2004,21
2005,11
2006,7
2007,6
2008,10
2009,12
2010,19
2011,20
2012,17
2013,14
2014,18
2015,25
2016,28
2017,21
2018,51
2019,49
2020,39
2021,59
2022,37
2023,39
2024,47
2025,30
2026,4
