mean_predicted_probability,fraction_of_positives,bin_count,model
0.030740470356440383,0.125,152,LogisticRegression
0.04476878893070301,0.07236842105263158,152,LogisticRegression
0.05752496789401085,0.039473684210526314,152,LogisticRegression
0.07040529943531161,0.08552631578947369,152,LogisticRegression
0.0822719371824618,0.05921052631578947,152,LogisticRegression
0.09538699754277306,0.10596026490066225,151,LogisticRegression
0.11308582445770612,0.09210526315789473,152,LogisticRegression
0.13773632545924508,0.08552631578947369,152,LogisticRegression
0.18394053430605506,0.1513157894736842,152,LogisticRegression
0.3825123353453055,0.21052631578947367,152,LogisticRegression
0.09700550994368505,0.07894736842105263,152,RandomForest
0.1539427699337816,0.1118421052631579,152,RandomForest
0.2067212037853654,0.03289473684210526,152,RandomForest
0.2647005028103593,0.07894736842105263,152,RandomForest
0.3165121323198548,0.07236842105263158,152,RandomForest
0.3660953132781046,0.09271523178807947,151,RandomForest
0.4171689465837987,0.09210526315789473,152,RandomForest
0.48359108497039555,0.09210526315789473,152,RandomForest
0.5756809042709944,0.1513157894736842,152,RandomForest
0.7116585549004634,0.2236842105263158,152,RandomForest
0.00043986807935126357,0.06578947368421052,152,XGBoost
0.0016433645225908166,0.07894736842105263,152,XGBoost
0.003920780992637829,0.08552631578947369,152,XGBoost
0.0079929353179116,0.07236842105263158,152,XGBoost
0.014852608082276819,0.09868421052631579,152,XGBoost
0.02735522421483962,0.11258278145695365,151,XGBoost
0.049282796926012166,0.07894736842105263,152,XGBoost
0.09458104114195234,0.07236842105263158,152,XGBoost
0.2214967240824511,0.125,152,XGBoost
0.5856322863776433,0.23684210526315788,152,XGBoost
