conflict_domain,n_records,mean,median,std
Land-only,163,1.1974687769607568,0.0,2.0291639569877225
Mixed,180,2.1848923943160927,0.34657359027997264,2.8083990377207715
Neither,456,1.5508774279730793,0.0,2.6423032097200227
Water-only,821,1.3951113283422905,0.0,2.5540572297077393
